Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",51,CSc.,CSc.,,,,,,,,"kandidát vied, vedecká hodnosť priznaná podľa predchádzajúcich predpisov",,,,1997-01-01,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",52,DrSc.,DrSc.,,,,,,,,"doktor vied (doctor scientarium), vedecká hodnosť udeľovaná podľa doterajších predpisov",,,,1997-01-01,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",53,PhD.,PhD.,,,,,,,,"doktor (philosophiae doctor), akademický titul za menom",,,,1999-05-10,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",54,ArtD.,ArtD.,,,,,,,,"doktor umenia (artis doctor), akademický titul za menom",,,,2000-11-09,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",71,doc.,doc.,,,,,,,,"docent, vedecko-pedagogický alebo umelecko-pedagogický titul",,,,1997-01-01,2012-05-14,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",72,prof.,prof.,,,,,,,,"profesor, vedecko-pedagogický alebo umelecko-pedagogický titul",,,,1997-01-01,2012-05-14,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",81,DiS,DiS,,,,,,,,"diplomovaný špecialista; absolventský diplom vyššieho odborného vzdelávania; titul sa uvádza za priezviskom, pre zdravotnícke odbory vzdelania podľa zák. č. 245/2008",,,,2008-09-01,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",82,DiS.art,DiS.art,,,,,,,,Pôvodný význam bol: diplomovaný umelec; absolventský diplom vyššieho odborného vzdelávania; titul sa uvádza za priezviskom podľa zák. č. 245/2008. Od 1.9.2015 bol novelou zákona č. 245/2008 zavedený nový význam: diplomovaný špecialista umenia; absolventský diplom vyššieho odborného vzdelávania; titul sa uvádza za priezviskom.,,,,2008-09-01,,,ano
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",41,FEBO,FEBO,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",42,MPH,MPH,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",43,BSBA,BSBA,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",44,MBA,MBA,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",45,MHA,MHA,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",46,FCCA,FCCA,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",47,MSc.,MSc.,,,,,,,,,,,,2019-02-12,,,nie
ano,CL000063,Titul za menom,"Title after the name  ",https://data.gov.sk/set/codelist/CL000063,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0063.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",48,FEBU,FEBU,,,,,,,,,,,,2019-02-12,,,nie
