Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",01,Ing.,Ing.,,,,,,,,"inžinier, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",02,Ing. arch.,Ing. arch.,,,,,,,,"inžinier architekt, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",03,JUDr.,JUDr.,,,,,,,,"doktor práv, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",04,MUDr.,MUDr.,,,,,,,,"doktor všeobecného lekárstva, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",05,MVDr.,MVDr.,,,,,,,,"doktor veterinárskeho lekárstva, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",06,RNDr.,RNDr.,,,,,,,,"doktor prírodných vied, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",07,RSDr.,RSDr.,,,,,,,,"doktor sociálno-politických vied, titul priznaný podľa predchádzajúcich predpisov",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",08,PhDr.,PhDr.,,,,,,,,"doktor filozofie, akademický titul",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",09,PhMr.,PhMr.,,,,,,,,"magister farmácie, titul priznaný podľa iných predpisov ako zák. č. 131/2002 Z. z.",,,,1997-01-01,,,ano
ano,CL000062,Titul pred menom,"Title ahead of the name  ",https://data.gov.sk/set/codelist/CL000062,"Ministerstvo školstva, vedy, výskumu a športu Slovenskej republiky",,Číselník Štatistického úradu Slovenskej republiky č. 0062.,2008-09-08,2008-10-01,,"Platnosť a účinnosť základného číselníka nadobudnutá na základe výnosu Ministerstva financií SR č. MF/013261/2008-132 o štandardoch pre informačné systémy verejnej správy. 
",10,ThDr.,ThDr.,,,,,,,,"doktor teológie, akademický titul",,,,1997-01-01,,,ano
