Základný číselník,Kód číselnika,Názov číselníka,Ang. názov číselníka,URI číselníka,Hlavný gestor,Vedľajší gestor,Zdrojový číselnik,Dátum platnosti,Začiatok účinnosti,Koniec účinnosti,Poznámka,Kód položky,Názov položky,Ang. názov položky,Skrátený názov položky,Ang. skrátený nazov položky,Skratka názvu položky,Ang. skratka názvu položky,URI polozky,Doplňujúci obsah,Merná jednotka,Poznámka pre položku,Zahŕňa,Tiež zahŕňa,Vylučuje,Začiatok účinnosti položky,Koniec účinnosti položky,Logické poradie položky,Legislatívna uznateľnosť
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400191,Polerieka,Polerieka,,,,,,SK0319512044;Abramová;SK0319;Turčianske Teplice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400208,Valentová,Valentová,,,,,,SK0316512397;Laskár;SK0316;Martin,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400210,Príboj,Príboj,,,,,,SK0427523054;Senné;SK032A;Veľký Krtíš,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400221,Babkov,Babkov,,,,,,SK031B517755;Lietavská Svinná-Babkov;SK031B;Žilina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400233,Vyšný Lánec,Vyšný Lánec,,,,,,SK0426521876;Perín-Chym;SK0426;Košice-okolie,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400245,Komárovce,Komárovce,,,,,,SK0429523089;Sobrance;SK0429;Sobrance,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400257,Lysá nad Dunajcom,Lysá nad Dunajcom,,,,,,SK0413523836;Spišská Stará Ves;SK0413;Kežmarok,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400269,Babin Potok,Babin Potok,,,,,,SK0417525294;Terňa;SK0417;Prešov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400271,Hradisko,Hradisko,,,,,,SK0417525294;Terňa;SK0417;Prešov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400282,Lačnov,Lačnov,,,,,,SK0417524786;Lipovce;SK0417;Prešov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400294,Orkucany,Orkucany,,,,,,SK0418525146;Sabinov;SK0418;Sabinov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400301,Závadka,Závadka,,,,,,SK0417524425;Geraltov;SK0417;Prešov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400312,Žatkovce,Žatkovce,,,,,,SK0417524425;Geraltov;SK0417;Prešov,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400490,Katúň,Katúň,,,,,,SK0414543578;Spišské Podhradie;SK0414;Levoča,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400506,Horná Tižina,Horná Tižina,,,,,,SK031B518042;Terchová;SK031B;Žilina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400518,Peklina,Peklina,,,,,,SK031B517526;Dolný Hričov;SK031B;Žilina,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400749,Ábelová,Ábelová,,,,,,SK0326511226;Ábelová;SK0326;Lučenec,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400762,Abrahámovce,Abrahámovce,,,,,,SK0411519014;Abrahámovce;SK0413;Kežmarok,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400774,Abramová,Abramová,,,,,,SK0319512044;Abramová;SK0319;Turčianske Teplice,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400786,Kochanovce,Kochanovce,,,,,,SK0229505838;Adamovské Kochanovce;SK0229;Trenčín,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400798,Andač,Andač,,,,,,SK0233500950;Zbehy;SK0233;Nitra,,,,,,2015-07-01,,,ano
ano,CL010141,Časť obce,,https://data.gov.sk/set/codelist/CL010141,Ministerstvo vnútra Slovenskej republiky,,,2019-06-12,2020-01-07,,,400804,Malý Báb,Malý Báb,,,,,,SK0233500046;Báb;SK0233;Nitra,,,,,,2015-07-01,,,ano
